spec,N,countries,factors,themes,real_beta_coef,real_beta_t,real_beta_p,bei_beta_coef,bei_beta_t,mkt_beta_coef,mkt_beta_t,pre_vol_coef,pre_vol_t,R2,country_FE,theme_FE,SE,note
leave_one_country_sgp,3099,21,153,7,0.06169556684736304,7.522696148209001,5.3658028689784706e-14,-0.027170403752155754,-3.484126193069964,0.014636558944972835,8.929130446487475,0.007045586175994173,0.19566514875847232,0.14580730804471054,True,False,HC1,
leave_one_country_swe,3098,21,153,7,0.06216700394919081,7.60257643860435,2.902924050503195e-14,-0.020164220959407446,-2.5599622734118492,0.013167230306517563,7.953191726527059,-0.002386216671373199,-0.06632446465054051,0.1431458731638927,True,False,HC1,
leave_one_theme_intangibles,2630,22,123,6,0.0622502816884598,7.411207583194605,1.2515450251245249e-13,-0.022687576921150414,-2.7219566109634488,0.01577776503853274,9.55555252264698,0.11538946343731918,5.125039831212831,0.19887555208219554,True,False,HC1,
leave_one_theme_investment,2572,22,121,6,0.0698474850992575,7.730020146512532,1.0752956491393628e-14,-0.021172737433184746,-2.4835621516006054,0.012931320141151911,7.327984874764201,0.0017341583485352904,0.04367365017879681,0.14640200824882277,True,False,HC1,
leave_one_theme_momentum,3064,22,144,6,0.0679728773915454,8.155634777349514,3.473506307406428e-16,-0.03129099406244979,-3.9578765725022396,0.01577281318770067,9.569802888942418,-0.023881380864059405,-0.6701584639953617,0.1654302973022137,True,False,HC1,
leave_one_theme_new,2921,22,138,6,0.06859815886398868,7.893879859754246,2.9293416877062884e-15,-0.027262662468606185,-3.38809248600029,0.014360751702229658,8.424746327279703,-0.0048647144108032335,-0.1331344104782044,0.14461206636977397,True,False,HC1,
leave_one_theme_profitability,2775,22,131,6,0.059888054604623986,6.666706858011914,2.616068751031563e-11,-0.023297877241801268,-2.750376932604048,0.012618865815686851,7.148551787639371,0.004482453726842668,0.11868779317087073,0.13032315730094346,True,False,HC1,
leave_one_theme_trading frictions,2679,22,126,6,0.056331630482760554,6.314676309754883,2.70727519871115e-10,-0.023181096908418693,-2.713566330639,0.014062505646491343,7.593273796184164,-0.015307977340293417,-0.3705830949415713,0.13115195683691705,True,False,HC1,
leave_one_theme_value,2865,22,135,6,0.0445513163481219,4.946605265523825,7.551889720186723e-07,-0.03176298043320297,-3.991973456982044,0.011447462714512847,6.262426372316592,-0.05997752132732205,-1.6262646895420994,0.09121950462100537,True,False,HC1,
country-level collapse,22,1,22,22,-0.06232278309524663,-1.0947467071195471,0.2736276199513328,0.03434114453983769,0.57034455788453,0.016918826915804836,0.96640103788231,0.01246219908552034,0.4674698629016921,0.29423288553260796,False,False,HC1,
theme-level collapse,7,1,7,7,-0.4778456948202288,-1.0630733681121907,0.2877486807229789,-1.8096483017863902,-1.3225686254982048,0.3790459063067046,1.4795009190034785,1.2282301360272982,2.412575372083263,0.7320123448679668,False,False,HC1,
2022 only W2-2,3251,22,153,7,0.11749565103562244,7.791271678943632,6.633810123309443e-15,-0.03466374313420583,-2.243528126551104,0.02069595262706793,6.264805245715017,-0.0312165424522788,-0.5437790938878022,0.1222915732989015,True,False,HC1,
2023 only W2-2,3251,22,153,7,0.06893673327618483,6.280848178090598,3.3673085303922364e-10,-0.03972151337382171,-3.646574665760559,0.008075254329563752,3.612959499660203,-0.042758318612585194,-1.1749533575169409,0.06450784206554994,True,False,HC1,
2024 only W2-2,3251,22,153,7,0.04108948246021124,2.719619377861429,0.006535709882057651,-0.024304934070005505,-1.7378863648020615,0.00595012407125052,1.9415006645928856,-0.028366584727461893,-0.4644561864418802,0.06896899708538451,True,False,HC1,
