country,factor,theme,real_beta,real_beta_t,bei_beta,bei_beta_t,mkt_beta,pre_mean,pre_vol,post_mean,n_pre,n_post,post_mean_2022,post_mean_2023,post_mean_2024
isr,lti_gr1a,investment,0.014704330960235693,0.9998828489201421,-0.02976967231777825,-1.7980011386321222,-0.04841214618362029,-0.0028009027993062983,0.04305985389911703,-1.4273359043268907e-05,227,48,-0.014860225033970024,-0.009639211451434083,0.00043159232949994156
isr,market_equity,trading frictions,-0.0036000395894927664,-0.3531148243047933,0.05513609247038203,1.9120109508537129,0.0496808830894261,0.0036579774918717497,0.03866295267419534,-0.005412385122757424,227,48,-0.01795517275738409,-0.001428407985325024,0.0036287917508581002
isr,mispricing_mgmt,new,0.011821594743010134,0.9316979943663691,-0.031721580527542384,-2.4864840705854254,-0.011487492920984221,0.0036956155500723325,0.03438551502384181,0.004120411961879227,227,48,0.013432047374078849,0.0013887150175141496,4.825847954706665e-05
isr,mispricing_perf,new,-0.013182937156223293,-0.921999652613304,-0.10629869341556808,-4.167198454191283,-0.3325982855038013,0.0060887271332371274,0.04400313139560804,-0.001135349396605614,227,48,-0.003750050077909109,-0.0002863832331599994,-0.005256864101255674
isr,ncoa_gr1a,investment,0.002303795034245534,0.1653360721863986,-0.040255775371639595,-2.1245677630564916,-0.1035912861728311,0.001886438193757528,0.04176195766710712,0.005425757358489651,227,48,0.01133080047292735,-0.001313923922920075,0.02461709397920069
isr,ncol_gr1a,investment,0.021899855681774338,1.9011009108460633,-0.02618162009844761,-1.160719271822271,-0.0934550214662204,0.0023024797275553906,0.045342890084448056,-0.00825457450273812,227,48,-0.013674090051264833,-0.018483853740638993,-0.014464574385412333
isr,netdebt_me,value,-0.015080324926892008,-0.7764070899905869,-0.09203741090685603,-3.0922583033793853,-0.35685790407764617,0.002278867648554532,0.04383616059968586,-0.003352635742566567,227,48,-0.007091289210268809,0.0030537751034914237,-0.010392978453271551
isr,netis_at,investment,-0.015602795012017875,-0.8560931849695923,-0.08895355491428686,-2.667588851329946,-0.21832651308950046,0.011508549896482537,0.05855743310747872,-0.0006176894642805913,215,48,0.018347245098464224,0.01342610853786689,-0.001707366933224936
isr,nfna_gr1a,investment,-0.013648391453107403,-0.7074717004694744,-0.06677390222906021,-2.72438121650082,-0.18700442237287337,0.0016327135406836782,0.0375820280006511,0.004936597153378834,227,48,0.013328436720935068,-0.0018859703707160079,0.006099795020750432
isr,ni_ar1,intangibles,0.0006875901174173502,0.051178908059625,0.013984786887677557,0.8016482637142667,0.15161600994689534,0.0015234800683907414,0.03593882139278674,-0.0001212244455109955,227,48,0.00532832937977155,0.005799939190488292,-0.008348156549017651
